age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit,marital,education,default,day,duration,previous
55,admin.,1662,no,no,cellular,jun,2,-1,unknown,yes,married,secondary,no,4,94,0
39,self-employed,-3058,yes,yes,cellular,apr,3,-1,unknown,yes,married,tertiary,no,17,882,0
51,admin.,3025,no,no,cellular,may,1,352,other,yes,married,secondary,no,7,476,1
38,services,-87,yes,no,cellular,may,1,-1,unknown,no,single,primary,no,13,531,0
36,housemaid,205,yes,no,telephone,nov,4,-1,unknown,no,married,secondary,no,18,176,0
41,admin.,-76,yes,no,cellular,apr,1,-1,unknown,no,married,secondary,no,16,263,0
37,admin.,4803,no,no,cellular,jan,2,-1,unknown,yes,single,secondary,no,15,396,0
36,technician,911,yes,yes,cellular,may,2,21,failure,yes,married,tertiary,no,25,117,3
35,management,805,no,no,cellular,sep,1,-1,unknown,no,single,tertiary,no,17,613,0
57,housemaid,0,no,no,unknown,jun,1,-1,unknown,no,divorced,primary,no,9,97,0
23,student,1234,no,no,cellular,feb,1,91,success,yes,single,secondary,no,15,379,1
33,housemaid,1107,yes,no,cellular,mar,1,-1,unknown,yes,single,tertiary,no,18,201,0
31,management,1170,no,no,cellular,aug,4,-1,unknown,no,married,tertiary,no,20,200,0
53,services,341,no,no,cellular,apr,2,-1,unknown,yes,married,secondary,no,30,423,0
30,management,4808,no,no,cellular,mar,1,-1,unknown,yes,single,tertiary,no,10,272,0
38,technician,88,no,no,cellular,nov,2,186,success,yes,married,tertiary,no,8,282,4
39,blue-collar,169,yes,no,unknown,may,1,-1,unknown,no,single,secondary,no,9,38,0
30,services,0,no,no,cellular,jan,1,-1,unknown,no,divorced,secondary,no,29,89,0
31,technician,863,yes,no,cellular,feb,1,263,success,no,single,secondary,no,3,146,5
46,management,242,no,no,cellular,aug,2,96,success,yes,married,tertiary,no,4,120,1
48,services,2597,yes,no,cellular,may,2,355,failure,no,married,secondary,no,6,182,1
57,management,4929,yes,no,telephone,jul,4,-1,unknown,no,married,tertiary,no,31,91,0
25,student,277,no,no,cellular,may,2,-1,unknown,yes,single,unknown,no,27,311,0
35,management,0,yes,no,cellular,nov,2,96,success,yes,married,tertiary,no,11,229,3
38,entrepreneur,1438,no,no,cellular,nov,5,-1,unknown,no,married,tertiary,no,13,122,0
29,blue-collar,15,no,no,cellular,jun,1,-1,unknown,no,married,secondary,no,3,136,0
28,student,3733,yes,no,cellular,aug,5,91,success,no,single,tertiary,no,21,419,7
52,admin.,204,no,no,cellular,aug,2,-1,unknown,no,married,primary,no,19,123,0
49,technician,1684,no,yes,cellular,jun,2,-1,unknown,yes,married,secondary,no,1,412,0
44,blue-collar,1025,yes,no,unknown,jun,1,-1,unknown,no,married,secondary,no,18,200,0
31,blue-collar,55,yes,yes,cellular,apr,2,-1,unknown,no,married,primary,no,17,340,0
28,housemaid,19,no,no,cellular,apr,1,-1,unknown,yes,single,tertiary,no,17,149,0
33,technician,348,yes,no,cellular,may,2,294,success,no,married,secondary,no,7,263,1
28,admin.,785,yes,no,unknown,may,2,-1,unknown,yes,divorced,secondary,no,8,442,0
42,management,742,yes,no,unknown,may,3,-1,unknown,no,divorced,tertiary,no,5,58,0
27,services,511,yes,no,unknown,jun,5,-1,unknown,no,married,secondary,no,30,85,0
47,management,6651,no,no,cellular,jul,1,412,failure,yes,single,tertiary,no,8,229,2
64,retired,1612,no,no,cellular,may,1,89,failure,yes,married,secondary,no,18,336,5
37,entrepreneur,555,no,no,cellular,jul,2,-1,unknown,no,married,tertiary,no,7,104,0
26,services,54,yes,no,unknown,may,1,-1,unknown,no,married,secondary,no,13,116,0
25,admin.,1185,no,no,cellular,oct,1,114,failure,yes,single,tertiary,no,7,290,1
38,housemaid,110,no,no,cellular,may,1,-1,unknown,no,married,secondary,no,25,167,0
34,blue-collar,0,yes,no,cellular,may,1,-1,unknown,no,divorced,secondary,no,5,150,0
57,technician,950,yes,no,cellular,jul,1,-1,unknown,no,married,secondary,no,9,1272,0
56,management,412,no,no,telephone,nov,6,-1,unknown,no,married,tertiary,no,20,179,0
32,services,228,yes,no,cellular,jul,6,-1,unknown,yes,married,primary,no,21,1017,0
32,technician,367,yes,no,cellular,may,2,276,failure,no,married,secondary,no,11,214,3
32,services,3993,no,no,cellular,may,2,-1,unknown,yes,single,secondary,no,22,148,0
33,management,2599,no,no,cellular,apr,2,-1,unknown,yes,married,tertiary,no,30,1373,0
29,admin.,3528,no,no,cellular,oct,1,-1,unknown,yes,single,secondary,no,8,137,0
33,management,32,no,no,cellular,aug,7,-1,unknown,no,married,tertiary,no,29,27,0
47,management,551,no,no,cellular,oct,1,-1,unknown,yes,single,tertiary,no,29,124,0
58,management,3161,no,no,telephone,jul,2,-1,unknown,yes,divorced,secondary,no,30,542,0
31,management,533,no,no,cellular,nov,3,93,success,yes,single,tertiary,no,12,90,6
45,unemployed,8725,no,no,cellular,jul,2,-1,unknown,no,single,primary,no,8,286,0
54,retired,349,yes,no,cellular,may,2,175,failure,no,divorced,tertiary,no,12,176,1
32,self-employed,514,yes,no,cellular,jul,1,-1,unknown,yes,married,secondary,no,11,812,0
32,technician,2688,no,no,cellular,oct,1,57,failure,yes,married,tertiary,no,14,216,1
44,management,0,yes,no,unknown,may,1,-1,unknown,no,married,tertiary,no,28,260,0
50,admin.,-194,yes,no,cellular,apr,2,-1,unknown,no,divorced,secondary,no,13,238,0
45,blue-collar,154,yes,no,unknown,may,1,-1,unknown,yes,married,secondary,no,7,1138,0
46,technician,874,no,no,cellular,nov,3,-1,unknown,yes,single,secondary,no,19,819,0
44,blue-collar,2,no,yes,telephone,jul,2,-1,unknown,no,married,primary,no,7,46,0
37,technician,5953,no,no,cellular,aug,1,-1,unknown,no,married,secondary,no,5,1113,0
57,retired,1269,no,no,cellular,aug,1,-1,unknown,yes,married,tertiary,no,31,1120,0
31,services,-327,yes,no,unknown,may,1,-1,unknown,no,married,secondary,no,28,408,0
37,self-employed,235,yes,no,cellular,apr,4,323,failure,no,single,primary,no,17,191,9
51,services,7,yes,no,cellular,jul,30,-1,unknown,no,married,secondary,no,31,8,0
79,retired,2661,no,no,cellular,nov,5,-1,unknown,yes,married,secondary,no,10,254,0
65,retired,1948,no,no,cellular,feb,2,-1,unknown,no,married,tertiary,no,2,102,0
56,services,0,no,no,cellular,aug,4,-1,unknown,no,married,secondary,no,13,112,0
31,unemployed,20,no,no,telephone,nov,1,-1,unknown,no,married,secondary,no,18,52,0
26,student,502,yes,no,telephone,may,1,-1,unknown,no,single,secondary,no,7,82,0
40,management,193,no,no,cellular,aug,6,-1,unknown,no,married,tertiary,no,18,105,0
35,technician,13658,yes,no,telephone,dec,2,-1,unknown,no,married,secondary,no,9,220,0
50,services,1716,yes,no,cellular,apr,1,-1,unknown,no,single,secondary,no,7,272,0
36,student,172,no,no,unknown,jun,1,-1,unknown,no,single,unknown,no,12,81,0
24,student,1234,no,no,cellular,jul,1,156,success,yes,single,secondary,no,21,314,2
58,services,1667,yes,yes,unknown,may,1,-1,unknown,no,married,secondary,no,6,85,0
34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,no,married,secondary,no,11,254,0
39,technician,8,no,yes,cellular,nov,2,96,failure,no,married,secondary,no,17,333,2
45,services,0,no,no,unknown,jun,6,-1,unknown,no,married,secondary,no,4,153,0
35,self-employed,951,yes,no,cellular,nov,2,-1,unknown,no,single,secondary,no,19,220,0
57,retired,427,no,no,cellular,jan,1,-1,unknown,no,married,secondary,no,29,246,0
42,admin.,241,yes,no,cellular,may,3,-1,unknown,yes,divorced,secondary,no,15,1012,0
25,student,469,no,no,cellular,aug,1,86,other,yes,single,secondary,no,21,273,1
60,retired,2060,no,no,cellular,jun,4,95,failure,no,married,secondary,no,29,135,4
33,blue-collar,19,yes,no,cellular,feb,1,271,other,no,married,secondary,no,4,56,1
44,management,7177,no,no,unknown,jun,2,-1,unknown,no,married,tertiary,no,19,89,0
28,technician,655,yes,no,unknown,may,2,-1,unknown,no,married,secondary,no,9,179,0
32,technician,-114,no,no,cellular,aug,2,-1,unknown,no,single,secondary,no,12,155,0
37,technician,588,yes,no,cellular,aug,4,-1,unknown,no,married,secondary,no,14,65,0
55,management,0,no,no,cellular,aug,4,-1,unknown,yes,divorced,tertiary,no,18,309,0
39,services,-971,yes,yes,unknown,may,2,-1,unknown,no,married,secondary,no,28,104,0
33,management,4570,no,no,cellular,aug,2,-1,unknown,yes,married,tertiary,no,22,1258,0
44,technician,250,no,no,telephone,mar,2,-1,unknown,yes,single,secondary,no,2,382,0
30,management,131,yes,no,cellular,aug,6,-1,unknown,yes,married,tertiary,no,11,384,0
36,management,93,no,no,cellular,jul,2,182,failure,yes,married,tertiary,no,12,262,7
37,admin.,22,yes,no,cellular,may,2,289,failure,no,single,secondary,no,7,28,5
32,technician,235,yes,no,telephone,aug,6,-1,unknown,no,married,secondary,no,28,688,0
39,unemployed,-114,yes,no,cellular,feb,1,-1,unknown,yes,single,secondary,no,3,372,0
48,management,0,no,yes,cellular,feb,8,-1,unknown,no,married,tertiary,yes,9,18,0
33,blue-collar,15341,no,no,cellular,apr,1,334,failure,no,single,secondary,no,20,335,3
45,unknown,356,no,no,cellular,aug,2,-1,unknown,no,married,unknown,no,11,212,0
34,services,190,yes,no,cellular,may,3,-1,unknown,no,married,secondary,no,15,121,0
56,entrepreneur,-124,yes,no,unknown,may,5,-1,unknown,no,married,tertiary,no,15,374,0
25,management,2228,yes,no,cellular,jul,1,-1,unknown,yes,married,secondary,no,23,754,0
40,blue-collar,-60,yes,no,cellular,jul,1,-1,unknown,no,married,secondary,no,21,250,0
52,management,193,no,no,cellular,apr,1,269,failure,yes,married,tertiary,no,30,381,1
30,management,376,yes,no,cellular,nov,1,-1,unknown,yes,single,tertiary,no,21,710,0
